Economy,Year,Economy Code,"Population, female"
Aruba,2021,ABW,56330
Afghanistan,2021,AFG,19844584
Angola,2021,AGO,17452283
Albania,2021,ALB,1407212
Andorra,2021,AND,38673
United Arab Emirates,2021,ARE,2853108
Argentina,2021,ARG,23130548
Armenia,2021,ARM,1534475
American Samoa,2021,ASM,22746
Antigua and Barbuda,2021,ATG,48709
Australia,2021,AUS,12936002
Austria,2021,AUT,4548093
Azerbaijan,2021,AZE,5135000
Burundi,2021,BDI,6319427
Belgium,2021,BEL,5867228
Benin,2021,BEN,6487184
Burkina Faso,2021,BFA,11089986
Bangladesh,2021,BGD,85358163
Bulgaria,2021,BGR,3542329
Bahrain,2021,BHR,554616
"Bahamas, The",2021,BHS,212878
Bosnia and Herzegovina,2021,BIH,1660775
Belarus,2021,BLR,5034947
Belize,2021,BLZ,198800
Bermuda,2021,BMU,33057
Bolivia,2021,BOL,6020925
Brazil,2021,BRA,109034931
Barbados,2021,BRB,146366
Brunei Darussalam,2021,BRN,214922
Bhutan,2021,BTN,365818
Botswana,2021,BWA,1310688
Central African Republic,2021,CAF,2728875
Canada,2021,CAN,19240835
Switzerland,2021,CHE,4383460
Channel Islands,2021,CHI,87239
Chile,2021,CHL,9818163
China,2021,CHN,691219627
Cote d'Ivoire,2021,CIV,13600535
Cameroon,2021,CMR,13634397
"Congo, Dem. Rep.",2021,COD,48319268
"Congo, Rep.",2021,COG,2921372
Colombia,2021,COL,26101321
Comoros,2021,COM,408923
Cabo Verde,2021,CPV,295580
Costa Rica,2021,CRI,2575216
Cuba,2021,CUB,5667114
Curacao,2021,CUW,79361
Cayman Islands,2021,CYM,33738
Cyprus,2021,CYP,621034
Czechia,2021,CZE,5331795
Germany,2021,DEU,42146923
Djibouti,2021,DJI,556667
Dominica,2021,DMA,36373
Denmark,2021,DNK,2943337
Dominican Republic,2021,DOM,5535650
Algeria,2021,DZA,21680725
Ecuador,2021,ECU,8910903
"Egypt, Arab Rep.",2021,EGY,54001891
Eritrea,2021,ERI,1834472
Spain,2021,ESP,24178913
Estonia,2021,EST,699703
Ethiopia,2021,ETH,59839622
Finland,2021,FIN,2803508
Fiji,2021,FJI,460926
France,2021,FRA,34998692
Faroe Islands,2021,FRO,25509
"Micronesia, Fed. Sts.",2021,FSM,56233
Gabon,2021,GAB,1148767
United Kingdom,2021,GBR,34065491
Georgia,2021,GEO,1964929
Ghana,2021,GHA,16457496
Gibraltar,2021,GIB,16352
Guinea,2021,GIN,6846006
"Gambia, The",2021,GMB,1326796
Guinea-Bissau,2021,GNB,1043505
Equatorial Guinea,2021,GNQ,771091
